ID,EMF_sp,Synonymia,Reference_original,Introduced_only,Plantation_only,Invasion_mature,Invasion_front,Host,Field_sample,Greenhouse_sample,Introduced_to,Stand_mean_age_years,Mean_altitude_m,LAT_decimal,LON_decimal,N_g/kg,pH,SOC_g/kg,Annual_mean_temperature_°C,Annual_precipitation_mm,Type_of_ecosystem ,Observations 
1,Amanita excelsa,Valid,Hall et al. 2003,1,0,0,0,Pinus sp. ,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,Amanita excelsa,Valid,Lundquist 1986,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,Amanita excelsa,Valid,Lundquist 1987a,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,Amanita excelsa,Valid,Reid & Eicker 1991,1,0,0,0,Pinus sp. ,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,Amanita excelsa,Valid,Stevenson 1962,1,0,0,0,Pinus sp.,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,Amanita excelsa,Valid,Van der Westhuizen & Eicker 1987,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,Amanita gemmata,Valid,Garrido 1986,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,Amanita muscaria,Valid,Birch 1937,1,0,0,0,Pinus radiata,1,0,"North Island, New Zealand ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,Amanita muscaria,Valid,Chu-Chou & Grace 1990,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,Amanita muscaria,Valid,Chu-Chou 1979,0,1,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,Amanita muscaria,Valid,De Meijer 2001,1,0,0,0,Pinus sp.,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,Amanita muscaria,Valid,Franco-Molano et al. 2000,1,0,0,0,Pinus sp.,1,0,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,Amanita muscaria,Valid,Fuhrer & Robinson 1992,1,0,0,0,Pinus sp. ,1,0,Tasmania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,Amanita muscaria,Valid,Garrido 1986,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,Amanita muscaria,Valid,Giachini et al. 2000,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",15,850,-27.5833333,-50.3666666666666,3.08,4.05,36.7,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
16,Amanita muscaria,Valid,Giachini et al. 2004,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",9,800,-27.75,-49.5,3.11,4.8,36.6,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
17,Amanita muscaria,Valid,Grgurinovic 1997,1,0,0,0,Pinus sp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,Amanita muscaria,Valid,Härkönen et al. 1994,0,1,0,0,Pinus spp.,1,0,Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,Amanita muscaria,Valid,Hemmes & Desjardin 2002,1,0,0,0,Pinus sp.,1,0,"Hawaii, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,Amanita muscaria,Valid,Landcare Research 2008,1,0,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,Amanita muscaria,Valid,Levin et al. 1985,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,Amanita muscaria,Valid,Lundquist 1986,1,0,0,0,Pinus spp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,Amanita muscaria,Valid,Marais & Kotzé 1977,1,0,0,0,Pinus patula,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,Amanita muscaria,Valid,Mikola 1969,0,1,0,0,Pinus spp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,Amanita muscaria,Valid,Morris 1990,1,0,0,0,Pinus sp.,1,0,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26,Amanita muscaria,Valid,Natarajan 1977,1,0,0,0,Pinus sp.,1,0,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
27,Amanita muscaria,Valid,Pulido 1983,0,1,0,0,Pinus sp. ,1,0,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
28,Amanita muscaria,Valid,Reid & Eicker 1991,1,0,0,0,Pinus sp. ,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
29,Amanita muscaria,Valid,Ryvarden et al. 1994,1,0,0,0,Pinus spp.,1,0,"Zimbabwe, Malawi, Zaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,Amanita muscaria,Valid,Sawyer et al. 2001,0,1,0,0,Pinus radiata,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
31,Amanita muscaria,Valid,Shepherd & Totterdell 1988,1,0,0,0,Pinus sp.,1,0,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,Amanita muscaria,Valid,Sobestiansky 2005,1,0,0,0,Pinus sp.,1,0,Brazil,40,565,-29.3666667,-51.1333333333333,2.68,5.6,28.1,17.2,1804,Subtropical forest,
33,Amanita muscaria,Valid,Stevenson 1962,1,0,0,0,Pinus radiata,1,0,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,Amanita muscaria,Valid,Stijve & De Meijer 1993,1,0,0,0,Pinus sp.,1,0,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
35,Amanita muscaria,Valid,Verwoerd 1929,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
36,Amanita pantherina,Valid,Lundquist 1986,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
37,Amanita pantherina,Valid,Lundquist 1987a,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38,Amanita pantherina var. multisquamosa,Amanita multisquamosa,Giachini et al. 2000,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",15,850,-27.5833333,-50.3666666666666,3.08,4.05,36.7,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
39,Amanita pantherina var. multisquamosa,Amanita multisquamosa,Giachini et al. 2004,0,1,0,0,Pinus taeda,1,0,"Santa Catarina, Brazil",9,800,-27.75,-49.5,3.11,4.8,36.6,16,1700,Subtropical forest,Climatic variables and pH informed in the paper
40,Amanita phalloides,Valid,Levin et al. 1985,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
41,Amanita phalloides,Valid,Lundquist 1986,0,1,0,0,Pinus radiata,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
42,Amanita phalloides,Valid,Lundquist 1987a,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
43,Amanita phalloides,Valid,Reid & Eicker 1991,1,0,0,0,Pinus sp. ,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
44,Amanita rubescens,Valid,Garrido 1986,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
45,Amanita rubescens,Valid,Lundquist 1986,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
46,Amanita rubescens,Valid,Lundquist 1987a,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
47,Amanita rubescens,Valid,Reid & Eicker 1991,1,0,0,0,Pinus sp. ,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
48,Amanita rubescens,Valid,Ryvarden et al. 1994,1,0,0,0,Pinus spp.,1,0,Zimbabwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
49,Amanita rubescens,Valid,Sobestiansky 2005,1,0,0,0,Pinus sp.,1,0,Brazil,40,825,-29.3833333,-50.8833333333333,3.69,5,48.2,16,1990,Subtropical forest,
50,Amphinema byssoides,Valid,Barroetaveña et al. 2005,0,1,0,0,Pinus ponderosa,1,0,"Patagonia, Argentina",40,650,-42.9166667,-71.35,3.13,6.1,52.9,9.8,750,Steppe grassland,Climatic variables informed in the paper
51,Astraeus hygrometricus,Valid,Lundquist 1986,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
52,Boletus edulis,Valid,Garrido 1986,0,1,0,0,Pinus radiata,1,0,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
53,Boletus edulis,Valid,Lundquist 1986,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
54,Boletus edulis,Valid,Lundquist 1987a,1,0,0,0,Pinus sp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
55,Boletus edulis,Valid,Mikola 1969,0,1,0,0,Pinus spp.,1,0,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
56,Boletus edulis,Valid,Petersen et al. 1994,0,1,0,0,Pinus sp.,1,0,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
57,Boletus edulis,Valid,Ryvarden et al. 1994,1,0,0,0,Pinus spp.,1,0,Zimbabwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
